disputeId,razorpayId,reasonCode,amount,currency,deliveryStatus,priorRefundCount,ipMatch,billingAddressMatch,logAmount,hasPriorRefund,groundTruthDefensible
5b1dfd0a-c480-4d3f-ad4f-09cce43cdfc6,disp_Aaad9A5PQoRKTu,duplicate_charge,499900,INR,delivery_unconfirmed,3,true,true,13.12216535779974,true,false
51a8af50-0cdd-4653-9bd9-57beb399ae4b,disp_rjzM9vWeS1lzX8,duplicate_charge,99900,INR,not_delivered,3,true,true,11.511934974596555,true,true
dffa1627-a43f-47f3-922a-6ae357d74763,disp_eCv1a56pMQlGlN,goods_not_received,249900,USD,delivery_unconfirmed,3,false,true,12.428820118415677,true,true
65ed2be2-9214-4dac-9bfa-196db6336b78,disp_vgLRxAl6nbDH8r,duplicate_charge,499900,USD,delivered,2,true,false,13.12216535779974,true,false
5e7f89fc-e374-4c8a-be41-c33518f97977,disp_ZUIRnjGdsO3f43,goods_not_received,249900,INR,not_delivered,1,true,true,12.428820118415677,true,true
c2ef9264-bf0e-45eb-b273-dfc9b5eeea77,disp_E1RdoH6BtdY5Pe,duplicate_charge,149900,INR,delivery_unconfirmed,3,true,true,11.917730355182513,true,true
79f57777-8d7a-45c6-859a-d0282d689e2c,disp_HUvrtA8xdfR0ys,unauthorized_transaction,49900,USD,not_delivered,2,true,true,10.817796321618971,true,true
ecd722d8-aab9-435a-8f6a-210eac18efa6,disp_KPUtLGQAxYwERO,product_not_as_described,149900,USD,not_delivered,1,false,true,11.917730355182513,true,false
93ae8d28-7a08-407e-9adf-7a4b7ac1fe1d,disp_YLMtQS1WTuiAJD,product_not_as_described,999900,INR,delivery_unconfirmed,1,true,true,13.81541155306345,true,true
b110d3cd-c67f-4dd9-9579-5140e8f715a8,disp_vo89kBT35CpkrN,product_not_as_described,149900,USD,delivered,2,true,true,11.917730355182513,true,false
3ccb2241-6341-45b9-bd44-b677c3045339,disp_2EQGNBGblSzgjl,product_not_as_described,149900,INR,in_transit,1,true,true,11.917730355182513,true,true
c8c59b82-a701-4184-b337-ec07ebba9daa,disp_imq21ofgwTAgRN,duplicate_charge,499900,INR,not_delivered,3,true,true,13.12216535779974,true,false
9f42478b-8408-421e-9b77-32d52784437d,disp_GM3ylmnqfrh8Fd,unauthorized_transaction,249900,USD,delivery_unconfirmed,1,false,true,12.428820118415677,true,true
754c632e-1f69-4019-b1d9-613cc7530465,disp_IOaHUMMxirFSmy,unauthorized_transaction,999900,INR,not_delivered,0,true,true,13.81541155306345,false,false
aa3aff01-7caa-4326-8b9e-faaffa0eadd8,disp_BNPec1uHfcWest,goods_not_received,149900,INR,delivery_unconfirmed,2,true,true,11.917730355182513,true,false
a9760535-5a24-447b-9e40-80600339e7f5,disp_dDOHYEnZ16tW9b,product_not_as_described,49900,INR,delivered,1,false,true,10.817796321618971,true,false
0af0b923-5a3b-476e-beba-38f0fa62d87a,disp_MZvPibcom7eamL,duplicate_charge,249900,USD,delivery_unconfirmed,1,true,true,12.428820118415677,true,true
febb1728-e8d0-4a7f-bf8c-af005b62c535,disp_USDOzM6Qitulby,unauthorized_transaction,249900,INR,in_transit,1,false,true,12.428820118415677,true,false
ec5b8453-3e78-4d53-969d-9b5c632d158d,disp_NWqrAYc7CdcNOV,unauthorized_transaction,49900,INR,delivered,3,false,true,10.817796321618971,true,true
